file: U2 | progress: 1000000 rows | time: 8 sec
file: U2 | progress: 2000000 rows | time: 18 sec
file: U2 | progress: 3000000 rows | time: 28 sec
file: U2 | progress: 4000000 rows | time: 37 sec
file: U2 | progress: 5000000 rows | time: 49 sec
file: U2 | progress: 6000000 rows | time: 62 sec
file: U2 | progress: 7000000 rows | time: 76 sec
file: U2 | progress: 8000000 rows | time: 89 sec
file: U2 | progress: 9000000 rows | time: 103 sec
file: U2 | progress: 10000000 rows | time: 118 sec
file: U2 | progress: 11000000 rows | time: 132 sec
file: U2 | progress: 12000000 rows | time: 146 sec
file: U2 | progress: 13000000 rows | time: 160 sec
file: U2 | progress: 14000000 rows | time: 174 sec
file: U2 | progress: 15000000 rows | time: 187 sec
file: U2 | progress: 16000000 rows | time: 199 sec
file: U6 | progress: 1000000 rows | time: 219 sec
file: U6 | progress: 2000000 rows | time: 227 sec
file: U6 | progress: 3000000 rows | time: 234 sec
file: U6 | progress: 4000000 rows | time: 243 sec
file: U6 | progress: 5000000 rows | time: 255 sec
file: U6 | progress: 6000000 rows | time: 268 sec
file: U6 | progress: 7000000 rows | time: 283 sec
file: U6 | progress: 8000000 rows | time: 297 sec
file: U6 | progress: 9000000 rows | time: 309 sec
file: U6 | progress: 10000000 rows | time: 321 sec
file: U6 | progress: 11000000 rows | time: 334 sec
file: U6 | progress: 12000000 rows | time: 348 sec
file: U6 | progress: 13000000 rows | time: 361 sec
file: U6 | progress: 14000000 rows | time: 373 sec
file: U6 | progress: 15000000 rows | time: 385 sec
file: U6 | progress: 16000000 rows | time: 397 sec
file: Ua | progress: 1000000 rows | time: 416 sec
file: Ua | progress: 2000000 rows | time: 425 sec
file: Ua | progress: 3000000 rows | time: 433 sec
file: Ua | progress: 4000000 rows | time: 442 sec
file: Ua | progress: 5000000 rows | time: 454 sec
file: Ua | progress: 6000000 rows | time: 466 sec
file: Ua | progress: 7000000 rows | time: 477 sec
file: Ua | progress: 8000000 rows | time: 491 sec
file: Ua | progress: 9000000 rows | time: 505 sec
file: Ua | progress: 10000000 rows | time: 517 sec
file: Ua | progress: 11000000 rows | time: 529 sec
file: Ua | progress: 12000000 rows | time: 541 sec
file: Ua | progress: 13000000 rows | time: 553 sec
file: Ua | progress: 14000000 rows | time: 565 sec
file: Ua | progress: 15000000 rows | time: 578 sec
file: Ua | progress: 16000000 rows | time: 591 sec
file: Ue | progress: 1000000 rows | time: 613 sec
file: Ue | progress: 2000000 rows | time: 623 sec
file: Ue | progress: 3000000 rows | time: 632 sec
file: Ue | progress: 4000000 rows | time: 639 sec
file: Ue | progress: 5000000 rows | time: 650 sec
file: Ue | progress: 6000000 rows | time: 662 sec
file: Ue | progress: 7000000 rows | time: 675 sec
file: Ue | progress: 8000000 rows | time: 688 sec
file: Ue | progress: 9000000 rows | time: 701 sec
file: Ue | progress: 10000000 rows | time: 714 sec
file: Ue | progress: 11000000 rows | time: 726 sec
file: Ue | progress: 12000000 rows | time: 739 sec
file: Ue | progress: 13000000 rows | time: 751 sec
file: Ue | progress: 14000000 rows | time: 763 sec
file: Ue | progress: 15000000 rows | time: 774 sec
file: Ue | progress: 16000000 rows | time: 786 sec
end: 792 sec
