file: U0 | progress: 1000000 rows | time: 7 sec
file: U0 | progress: 2000000 rows | time: 17 sec
file: U0 | progress: 3000000 rows | time: 26 sec
file: U0 | progress: 4000000 rows | time: 35 sec
file: U0 | progress: 5000000 rows | time: 47 sec
file: U0 | progress: 6000000 rows | time: 60 sec
file: U0 | progress: 7000000 rows | time: 72 sec
file: U0 | progress: 8000000 rows | time: 84 sec
file: U0 | progress: 9000000 rows | time: 97 sec
file: U0 | progress: 10000000 rows | time: 111 sec
file: U0 | progress: 11000000 rows | time: 125 sec
file: U0 | progress: 12000000 rows | time: 139 sec
file: U0 | progress: 13000000 rows | time: 152 sec
file: U0 | progress: 14000000 rows | time: 164 sec
file: U0 | progress: 15000000 rows | time: 176 sec
file: U0 | progress: 16000000 rows | time: 189 sec
file: U4 | progress: 1000000 rows | time: 211 sec
file: U4 | progress: 2000000 rows | time: 219 sec
file: U4 | progress: 3000000 rows | time: 227 sec
file: U4 | progress: 4000000 rows | time: 236 sec
file: U4 | progress: 5000000 rows | time: 248 sec
file: U4 | progress: 6000000 rows | time: 262 sec
file: U4 | progress: 7000000 rows | time: 276 sec
file: U4 | progress: 8000000 rows | time: 289 sec
file: U4 | progress: 9000000 rows | time: 303 sec
file: U4 | progress: 10000000 rows | time: 316 sec
file: U4 | progress: 11000000 rows | time: 329 sec
file: U4 | progress: 12000000 rows | time: 342 sec
file: U4 | progress: 13000000 rows | time: 355 sec
file: U4 | progress: 14000000 rows | time: 367 sec
file: U4 | progress: 15000000 rows | time: 380 sec
file: U4 | progress: 16000000 rows | time: 393 sec
file: U8 | progress: 1000000 rows | time: 414 sec
file: U8 | progress: 2000000 rows | time: 423 sec
file: U8 | progress: 3000000 rows | time: 432 sec
file: U8 | progress: 4000000 rows | time: 440 sec
file: U8 | progress: 5000000 rows | time: 452 sec
file: U8 | progress: 6000000 rows | time: 467 sec
file: U8 | progress: 7000000 rows | time: 481 sec
file: U8 | progress: 8000000 rows | time: 493 sec
file: U8 | progress: 9000000 rows | time: 505 sec
file: U8 | progress: 10000000 rows | time: 518 sec
file: U8 | progress: 11000000 rows | time: 530 sec
file: U8 | progress: 12000000 rows | time: 542 sec
file: U8 | progress: 13000000 rows | time: 554 sec
file: U8 | progress: 14000000 rows | time: 566 sec
file: U8 | progress: 15000000 rows | time: 578 sec
file: U8 | progress: 16000000 rows | time: 590 sec
file: Uc | progress: 1000000 rows | time: 611 sec
file: Uc | progress: 2000000 rows | time: 621 sec
file: Uc | progress: 3000000 rows | time: 629 sec
file: Uc | progress: 4000000 rows | time: 637 sec
file: Uc | progress: 5000000 rows | time: 648 sec
file: Uc | progress: 6000000 rows | time: 659 sec
file: Uc | progress: 7000000 rows | time: 673 sec
file: Uc | progress: 8000000 rows | time: 686 sec
file: Uc | progress: 9000000 rows | time: 700 sec
file: Uc | progress: 10000000 rows | time: 715 sec
file: Uc | progress: 11000000 rows | time: 728 sec
file: Uc | progress: 12000000 rows | time: 741 sec
file: Uc | progress: 13000000 rows | time: 754 sec
file: Uc | progress: 14000000 rows | time: 767 sec
file: Uc | progress: 15000000 rows | time: 781 sec
file: Uc | progress: 16000000 rows | time: 790 sec
end: 794 sec
