file: U3 | progress: 1000000 rows | time: 8 sec
file: U3 | progress: 2000000 rows | time: 18 sec
file: U3 | progress: 3000000 rows | time: 27 sec
file: U3 | progress: 4000000 rows | time: 36 sec
file: U3 | progress: 5000000 rows | time: 48 sec
file: U3 | progress: 6000000 rows | time: 60 sec
file: U3 | progress: 7000000 rows | time: 73 sec
file: U3 | progress: 8000000 rows | time: 86 sec
file: U3 | progress: 9000000 rows | time: 99 sec
file: U3 | progress: 10000000 rows | time: 111 sec
file: U3 | progress: 11000000 rows | time: 124 sec
file: U3 | progress: 12000000 rows | time: 136 sec
file: U3 | progress: 13000000 rows | time: 148 sec
file: U3 | progress: 14000000 rows | time: 160 sec
file: U3 | progress: 15000000 rows | time: 172 sec
file: U3 | progress: 16000000 rows | time: 185 sec
file: U7 | progress: 1000000 rows | time: 207 sec
file: U7 | progress: 2000000 rows | time: 216 sec
file: U7 | progress: 3000000 rows | time: 224 sec
file: U7 | progress: 4000000 rows | time: 232 sec
file: U7 | progress: 5000000 rows | time: 243 sec
file: U7 | progress: 6000000 rows | time: 255 sec
file: U7 | progress: 7000000 rows | time: 267 sec
file: U7 | progress: 8000000 rows | time: 279 sec
file: U7 | progress: 9000000 rows | time: 291 sec
file: U7 | progress: 10000000 rows | time: 302 sec
file: U7 | progress: 11000000 rows | time: 314 sec
file: U7 | progress: 12000000 rows | time: 326 sec
file: U7 | progress: 13000000 rows | time: 338 sec
file: U7 | progress: 14000000 rows | time: 349 sec
file: U7 | progress: 15000000 rows | time: 361 sec
file: U7 | progress: 16000000 rows | time: 373 sec
file: Ub | progress: 1000000 rows | time: 395 sec
file: Ub | progress: 2000000 rows | time: 404 sec
file: Ub | progress: 3000000 rows | time: 412 sec
file: Ub | progress: 4000000 rows | time: 420 sec
file: Ub | progress: 5000000 rows | time: 430 sec
file: Ub | progress: 6000000 rows | time: 441 sec
file: Ub | progress: 7000000 rows | time: 454 sec
file: Ub | progress: 8000000 rows | time: 468 sec
file: Ub | progress: 9000000 rows | time: 481 sec
file: Ub | progress: 10000000 rows | time: 492 sec
file: Ub | progress: 11000000 rows | time: 504 sec
file: Ub | progress: 12000000 rows | time: 515 sec
file: Ub | progress: 13000000 rows | time: 528 sec
file: Ub | progress: 14000000 rows | time: 540 sec
file: Ub | progress: 15000000 rows | time: 554 sec
file: Ub | progress: 16000000 rows | time: 568 sec
file: Uf | progress: 1000000 rows | time: 590 sec
file: Uf | progress: 2000000 rows | time: 600 sec
file: Uf | progress: 3000000 rows | time: 608 sec
file: Uf | progress: 4000000 rows | time: 617 sec
file: Uf | progress: 5000000 rows | time: 628 sec
file: Uf | progress: 6000000 rows | time: 640 sec
file: Uf | progress: 7000000 rows | time: 652 sec
file: Uf | progress: 8000000 rows | time: 666 sec
file: Uf | progress: 9000000 rows | time: 680 sec
file: Uf | progress: 10000000 rows | time: 694 sec
file: Uf | progress: 11000000 rows | time: 708 sec
file: Uf | progress: 12000000 rows | time: 722 sec
file: Uf | progress: 13000000 rows | time: 735 sec
file: Uf | progress: 14000000 rows | time: 747 sec
file: Uf | progress: 15000000 rows | time: 760 sec
file: Uf | progress: 16000000 rows | time: 772 sec
end: 785 sec
